Sub Name,To Sub Name,Product ID,Customer Device,GC Version,PO,Lot ID,Wafer ID,Lot State,Stage,Current Wafer Qty,Projected Out Date,Commit Date,Wafer Start Date,Total Layers,Rem. Layers,CanSemi Fab,Gross Die,Lot Type
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005070,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,PP-IMP,25,2021/3/5 0:00,2021/3/5 0:00,2021/1/11 18:45,26,9,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005069,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,M1-ET,25,2021/2/23 0:00,2021/2/23 0:00,2021/1/11 18:42,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005068,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,IMD1-HDP,25,2021/2/23 0:00,2021/2/23 0:00,2021/1/11 18:41,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005067,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,IMD1-HDP,25,2021/2/23 0:00,2021/2/23 0:00,2021/1/11 18:37,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005066,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,IMD1-HDP,25,2021/2/23 0:00,2021/2/23 0:00,2021/1/11 16:13,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005065,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,M1-ET,25,2021/2/23 0:00,2021/2/23 0:00,2021/1/11 16:11,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005064,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,IMD1-HDP,25,2021/2/23 0:00,2021/2/23 0:00,2021/1/11 16:09,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005063,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,IMD1-HDP,25,2021/2/23 0:00,2021/2/23 0:00,2021/1/11 13:04,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005062,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,IMD1-HDP,25,2021/2/23 0:00,2021/2/23 0:00,2021/1/11 13:02,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005061,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,NP-IMP,25,2021/3/4 0:00,2021/3/4 0:00,2021/1/11 8:54,26,10,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005060,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,P1-DARC,25,2021/3/4 0:00,2021/3/4 0:00,2021/1/11 8:53,26,16,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005059,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,PP-IMP,25,2021/3/4 0:00,2021/3/4 0:00,2021/1/11 8:53,26,9,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005058,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,IMD1-HDP,25,2021/2/22 0:00,2021/2/22 0:00,2021/1/11 2:35,26,6,GZ 300MM FAB1,5889,PP
